Date,Dr
2017-01-24,8.0
2017-01-31,3.0
2017-02-06,0.10000000000000142
2017-02-08,8.0
2017-02-20,-0.29999999999999716
2017-02-22,3.0
2017-03-12,5.0
2017-03-17,0.0
2017-03-20,-1.7000000000000028
2017-03-27,9.0
2017-03-28,5.0
2017-04-01,2.0
2017-04-09,3.0
2017-04-11,3.0
2017-04-12,7.0
2017-04-15,0.0
2017-04-18,6.0
2017-04-20,4.5
2017-04-24,-2.0
2017-04-25,6.75
2017-04-30,0.0
2017-05-02,3.0
2017-05-06,6.0
2017-05-09,10.5
2017-05-11,5.0
2017-05-14,9.0
2017-05-16,7.0
2017-05-22,4.0
2017-05-23,4.7
2017-05-24,6.600000000000003
2017-05-25,6.033333333333334
2017-05-26,4.2
2017-05-27,5.700000000000002
2017-05-28,3.233333333333332
2017-05-29,2.93333333333333
2017-05-30,3.9999999999999987
2017-05-31,3.2499999999999973
2017-06-01,5.266666666666668
2017-06-02,6.200000000000001
2017-06-03,5.8
2017-06-04,7.533333333333336
2017-06-05,7.728571428571428
2017-06-06,7.56
2017-06-07,7.599999999999999
2017-06-08,9.133333333333335
2017-06-09,9.833333333333334
2017-06-10,9.9
2017-06-11,9.825000000000001
2017-06-12,6.574999999999999
2017-06-13,4.150000000000001
2017-06-14,3.3999999999999986
2017-06-15,3.9333333333333322
2017-06-16,4.8
2017-06-17,9.566666666666668
2017-06-18,11.699999999999998
2017-06-19,12.325
2017-06-20,10.160000000000002
2017-06-21,7.833333333333333
2017-06-22,8.366666666666667
2017-06-23,7.033333333333334
2017-06-24,4.824999999999999
2017-06-25,7.25
2017-06-26,9.200000000000001
2017-06-27,6.833333333333333
2017-06-28,7.400000000000003
2017-06-29,8.433333333333334
2017-06-30,6.375000000000001
2017-07-01,4.566666666666664
2017-07-02,6.333333333333335
2017-07-03,5.833333333333336
2017-07-04,5.849999999999999
2017-07-05,7.833333333333331
2017-07-06,6.975000000000001
2017-07-07,9.399999999999999
2017-07-08,8.399999999999999
2017-07-09,8.78
2017-07-10,8.233333333333333
2017-07-11,7.924999999999998
2017-07-12,5.933333333333334
2017-07-13,6.3999999999999995
2017-07-14,3.0333333333333328
2017-07-15,2.6000000000000014
2017-07-16,0.766666666666668
2017-07-17,5.625000000000001
2017-07-18,6.1
2017-07-19,4.233333333333331
2017-07-20,3.7999999999999985
2017-07-21,4.033333333333334
2017-07-22,4.849999999999998
2017-07-23,3.450000000000003
2017-07-24,4.666666666666667
2017-07-25,6.500000000000003
2017-07-26,9.8
2017-07-27,8.7
2017-07-28,11.2
2017-07-29,9.033333333333331
2017-07-30,10.35
2017-07-31,7.899999999999999
2017-08-01,9.125
2017-08-02,6.849999999999998
2017-08-03,5.600000000000001
2017-08-04,5.0500000000000025
2017-08-05,8.1
2017-08-06,9.4
2017-08-07,9.499999999999998
2017-08-08,9.4
2017-08-09,11.15
2017-08-10,9.500000000000004
2017-08-11,8.599999999999996
2017-08-12,7.966666666666666
2017-08-13,8.55
2017-08-14,7.533333333333331
2017-08-15,9.600000000000001
2017-08-16,11.899999999999997
2017-08-17,9.4
2017-08-18,9.299999999999997
2017-08-19,7.3
2017-08-20,8.849999999999998
2017-08-21,9.533333333333335
2017-08-22,8.1
2017-08-23,7.6
2017-08-24,7.500000000000002
2017-08-25,9.049999999999997
2017-08-26,9.200000000000003
2017-08-27,10.749999999999998
2017-08-28,4.4
2017-08-29,7.366666666666667
2017-08-30,2.7333333333333343
2017-08-31,3.5
2017-09-01,4.799999999999995
2017-09-02,5.25
2017-09-03,4.5666666666666655
2017-09-04,4.800000000000001
2017-09-05,5.899999999999999
2017-09-06,2.650000000000002
2017-09-07,3.8499999999999996
2017-09-08,4.299999999999997
2017-09-09,4.199999999999999
2017-09-10,6.449999999999999
2017-09-11,7.166666666666667
2017-09-12,10.1
2017-09-13,10.999999999999998
2017-09-14,11.25
2017-09-15,10.849999999999996
2017-09-16,8.9
2017-09-17,8.033333333333333
2017-09-18,9.066666666666666
2017-09-19,7.266666666666668
2017-09-20,7.824999999999999
2017-09-21,9.55
2017-09-22,11.700000000000003
2017-09-23,11.05
2017-09-24,7.3
2017-09-25,7.3999999999999995
2017-09-26,7.074999999999998
2017-09-27,5.300000000000001
2017-09-28,4.949999999999999
2017-09-29,4.766666666666668
2017-09-30,7.249999999999998
2017-10-01,4.733333333333334
2017-10-02,7.199999999999999
2017-10-03,7.633333333333333
2017-10-04,7.600000000000001
2017-10-05,9.3
2017-10-06,7.975000000000001
2017-10-07,7.700000000000003
2017-10-08,7.75
2017-10-09,6.733333333333333
2017-10-10,6.949999999999998
2017-10-11,6.449999999999999
2017-10-12,7.233333333333333
2017-10-13,6.899999999999999
2017-10-14,3.4666666666666663
2017-10-15,11.174999999999999
2017-10-16,6.75
2017-10-17,6.700000000000003
2017-10-18,7.450000000000003
2017-10-19,8.850000000000001
2017-10-20,7.249999999999998
2017-10-21,6.500000000000002
2017-10-22,7.25
2017-10-23,7.866666666666667
2017-10-24,9.825
2017-10-25,9.7
2017-10-26,9.6
2017-10-27,8.400000000000002
2017-10-28,5.1
2017-10-29,7.866666666666667
2017-10-30,7.38
2017-10-31,7.133333333333333
2017-11-01,7.24
2017-11-02,15.0
2017-11-03,13.150000000000002
2017-11-04,12.450000000000001
2017-11-05,11.175
2017-11-06,5.966666666666666
2017-11-07,8.1
2017-11-08,7.799999999999999
2017-11-09,10.366666666666665
2017-11-10,10.45
2017-11-11,10.433333333333335
2017-11-12,9.23333333333333
2017-11-13,10.9
2017-11-14,8.120000000000001
2017-11-15,6.100000000000001
2017-11-16,7.050000000000004
2017-11-17,7.649999999999999
2017-11-18,7.25
2017-11-19,8.866666666666665
2017-11-20,9.65
2017-11-21,8.666666666666666
2017-11-22,8.799999999999999
2017-11-23,9.75
2017-11-24,8.45
2017-11-25,5.633333333333332
2017-11-26,7.4
2017-11-27,6.300000000000001
2017-11-28,5.8
2017-11-29,7.0
2017-11-30,7.399999999999999
2017-12-01,6.450000000000003
2017-12-02,6.6
2017-12-03,4.0
2017-12-04,7.566666666666667
2017-12-05,5.466666666666668
2017-12-06,6.950000000000003
2017-12-07,9.466666666666665
2017-12-08,8.25
2017-12-09,9.75
2017-12-10,9.099999999999996
2017-12-11,7.65
2017-12-12,10.4
2017-12-13,9.9
2017-12-14,9.2
2017-12-15,9.700000000000001
2017-12-16,10.700000000000001
2017-12-17,13.62
2017-12-18,9.8
2017-12-19,11.866666666666665
2017-12-20,13.600000000000001
2017-12-21,13.199999999999996
2017-12-22,14.05
2017-12-23,14.9
2017-12-24,13.75
2017-12-25,14.5
2017-12-26,12.633333333333335
2017-12-27,14.95
2017-12-28,13.600000000000001
2017-12-29,12.649999999999999
2017-12-30,12.350000000000001
2017-12-31,9.299999999999999
2018-01-02,6.433333333333334
2018-01-03,4.1999999999999975
2018-01-04,6.050000000000001
2018-01-05,6.766666666666667
2018-01-06,6.800000000000001
2018-01-07,7.049999999999997
2018-01-08,9.75
2018-01-09,10.100000000000001
2018-01-10,7.5666666666666655
2018-01-11,7.766666666666667
2018-01-12,6.950000000000001
2018-01-13,5.4
2018-01-14,6.099999999999998
2018-01-15,9.620000000000001
2018-01-16,6.083333333333332
2018-01-17,5.999999999999997
2018-01-18,9.083333333333334
2018-01-19,6.099999999999998
2018-01-20,6.3999999999999995
2018-01-21,6.6333333333333355
2018-01-22,6.799999999999997
2018-01-23,7.540000000000001
2018-01-24,7.9999999999999964
2018-01-25,6.925
2018-01-26,5.8999999999999995
2018-01-27,8.2
2018-01-28,8.200000000000003
2018-01-29,6.749999999999998
2018-01-30,4.574999999999998
2018-01-31,6.800000000000001
2018-02-01,4.333333333333333
2018-02-02,4.266666666666666
2018-02-03,8.100000000000001
2018-02-04,6.599999999999999
2018-02-05,7.5
2018-02-06,6.300000000000001
2018-02-07,6.7749999999999995
2018-02-08,3.75
2018-02-09,4.0
2018-02-10,5.950000000000001
2018-02-11,6.900000000000001
2018-02-12,4.8
2018-02-13,7.649999999999999
2018-02-14,6.300000000000001
2018-02-15,5.700000000000003
